location,url_tail,walk_score,transit_score,bike_score
"11366, Fresh Meadows, NY",11366-fresh-meadows-ny,85,69,57
", Woodhaven, NY",#NAME?,92,76,55
"10039, Flushing, NY",10039-flushing-ny,92,100,84
"11210, Midwood, NY",11210-midwood-ny,95,99,62
"10457, Mount Hope, NY",10457-mount-hope-ny,90,100,75
"10461, Morris Park, NY",10461-morris-park-ny,86,NA,84
"10310, West Brighton, NY",10310-west-brighton-ny,86,63,60
"10012, Chinatown, NY",10012-chinatown-ny,100,100,93
"11365, Forest Hills, NY",11365-forest-hills-ny,87,66,69
", Harlem, NY",#NAME?,99,100,75
"11691, Far Rockaway, NY",11691-far-rockaway-ny,78,74,60
"11420, South Ozone Park, NY",11420-south-ozone-park-ny,88,63,52
"10460, Tremont, NY",10460-tremont-ny,93,96,68
"10038, Upper West Side, NY",10038-upper-west-side-ny,100,100,86
", East Harlem, NY",#NAME?,97,100,82
"11368, Corona, NY",11368-corona-ny,92,84,77
"11691, Bayswater, NY",11691-bayswater-ny,51,64,49
"11434, Springfield Gardens, NY",11434-springfield-gardens-ny,78,66,51
"11237, Bedford-Stuyvesant, NY",11237-bedford-stuyvesant-ny,97,97,91
", Lower East Side, NY",#NAME?,97,100,94
"10456, Longwood, NY",10456-longwood-ny,90,NA,77
"10035, East Village, NY",10035-east-village-ny,11,83,56
", SoHo, NY",#NAME?,100,100,93
"11235, Manhattan Beach, NY",11235-manhattan-beach-ny,46,51,49
"10007, Tribeca, NY",10007-tribeca-ny,99,100,90
"10007, Tribeca, NY",10007-tribeca-ny,99,100,90
"11230, Gravesend, NY",11230-gravesend-ny,96,90,77
"10007, Financial District, NY",10007-financial-district-ny,99,100,90
"11223, Sheepshead Bay, NY",11223-sheepshead-bay-ny,92,98,70
", Park Slope, NY",#NAME?,97,100,86
"11419, Ozone Park, NY",11419-ozone-park-ny,91,88,51
"10019, Lower East Side, NY",10019-lower-east-side-ny,98,100,97
"10463, Marble Hill, NY",10463-marble-hill-ny,94,92,43
"11412, Springfield Gardens, NY",11412-springfield-gardens-ny,71,64,55
"10305, Dongan Hills, NY",10305-dongan-hills-ny,69,69,54
"11229, Midwood, NY",11229-midwood-ny,94,76,69
"10014, Financial District, NY",10014-financial-district-ny,100,100,89
"11103, Astoria, NY",11103-astoria-ny,94,96,67
"11103, Astoria, NY",11103-astoria-ny,94,96,67
"11694, Rockaway Beach, NY",11694-rockaway-beach-ny,83,82,75
"11433, Jamaica, NY",11433-jamaica-ny,81,100,51
"11365, Fresh Meadows, NY",11365-fresh-meadows-ny,81,69,61
"11373, Maspeth, NY",11373-maspeth-ny,98,NA,78
"10459, East Morrisania, NY",10459-east-morrisania-ny,90,100,77
"10017, East Village, NY",10017-east-village-ny,100,100,80
"10006, Battery Park City, NY",10006-battery-park-city-ny,99,100,83
", Boerum Hill, NY",#NAME?,97,100,95
"10474, Hunts Point, NY",10474-hunts-point-ny,58,NA,49
"11377, Long Island City, NY",11377-long-island-city-ny,95,100,73
